filename,n_bibls,n_cits
phi0914.phi00110.perseus-lat3.xml,0,0
phi0914.phi00110.perseus-eng1.xml,0,0
phi0914.phi00110.perseus-eng2.xml,0,0
phi0914.phi00120s.perseus-eng1.xml,0,0
phi0914.phi00120s.perseus-lat2.xml,0,0
phi0914.phi0012.perseus-eng2.xml,0,0
phi0914.phi0012.perseus-eng1.xml,0,0
phi0914.phi0012.perseus-lat3.xml,0,0
phi0914.phi0012.perseus-lat2.xml,0,0
phi0914.phi0015.perseus-eng2.xml,0,0
phi0914.phi0015.perseus-lat2.xml,0,0
phi0914.phi0015.perseus-eng1.xml,0,0
phi0914.phi0015.perseus-lat3.xml,0,0
phi0914.phi00116s.perseus-lat2.xml,0,0
phi0914.phi00116s.perseus-eng1.xml,0,0
phi0914.phi00136.perseus-eng1.xml,0,0
phi0914.phi00136.perseus-lat1.xml,0,0
phi0914.phi00136.perseus-eng3.xml,0,0
phi0914.phi00136.perseus-eng2.xml,0,0
phi0914.phi00131.perseus-eng1.xml,0,0
phi0914.phi00131.perseus-eng2.xml,0,0
phi0914.phi00131.perseus-lat1.xml,0,0
phi0914.phi00131.perseus-eng3.xml,0,0
phi0914.phi00138.perseus-eng1.xml,0,0
phi0914.phi00138.perseus-lat1.xml,0,0
phi0914.phi00138.perseus-eng3.xml,0,0
phi0914.phi00138.perseus-eng2.xml,0,0
phi0914.phi0014.perseus-eng2.xml,0,0
phi0914.phi0014.perseus-lat3.xml,0,0
phi0914.phi0014.perseus-eng1.xml,0,0
phi0914.phi0014.perseus-lat2.xml,0,0
phi0914.phi00115s.perseus-lat2.xml,0,0
phi0914.phi00115s.perseus-eng1.xml,0,0
phi0914.phi0013.perseus-eng2.xml,0,0
phi0914.phi0013.perseus-lat2.xml,0,0
phi0914.phi0013.perseus-lat3.xml,0,0
phi0914.phi0013.perseus-eng1.xml,0,0
phi0914.phi00139.perseus-eng1.xml,0,0
phi0914.phi00139.perseus-eng2.xml,0,0
phi0914.phi00139.perseus-eng3.xml,0,0
phi0914.phi00139.perseus-lat1.xml,0,0
phi0914.phi00130.perseus-lat2.xml,0,0
phi0914.phi00130.perseus-lat3.xml,0,0
phi0914.phi00130.perseus-eng1.xml,0,0
phi0914.phi00130.perseus-eng3.xml,0,0
phi0914.phi00130.perseus-eng2.xml,0,0
phi0914.phi00137.perseus-eng1.xml,0,0
phi0914.phi00137.perseus-eng2.xml,0,0
phi0914.phi00137.perseus-eng3.xml,0,0
phi0914.phi00137.perseus-lat1.xml,0,0
phi0914.phi00111s.perseus-lat2.xml,0,0
phi0914.phi00111s.perseus-eng1.xml,0,0
phi0914.phi00124.perseus-eng2.xml,0,0
phi0914.phi00124.perseus-eng3.xml,0,0
phi0914.phi00124.perseus-lat1.xml,0,0
phi0914.phi00124.perseus-lat3.xml,0,0
phi0914.phi00124.perseus-eng1.xml,0,0
phi0914.phi00123.perseus-eng3.xml,0,0
phi0914.phi00123.perseus-lat1.xml,0,0
phi0914.phi00123.perseus-eng2.xml,0,0
phi0914.phi00123.perseus-lat3.xml,0,0
phi0914.phi00123.perseus-eng1.xml,0,0
phi0914.phi001.perseus-eng3.xml,17,0
phi0914.phi001.perseus-lat2.xml,0,0
phi0914.phi00141.perseus-eng2.xml,0,0
phi0914.phi00141.perseus-lat1.xml,0,0
phi0914.phi00141.perseus-eng3.xml,0,0
phi0914.phi00141.perseus-eng1.xml,0,0
phi0914.phi00112s.perseus-lat2.xml,0,0
phi0914.phi00112s.perseus-eng1.xml,0,0
phi0914.phi00122.perseus-eng2.xml,0,0
phi0914.phi00122.perseus-lat1.xml,0,0
phi0914.phi00122.perseus-eng3.xml,0,0
phi0914.phi00122.perseus-eng1.xml,0,0
phi0914.phi00122.perseus-lat2.xml,0,0
phi0914.phi00125.perseus-lat1.xml,0,0
phi0914.phi00125.perseus-eng3.xml,0,0
phi0914.phi00125.perseus-eng2.xml,0,0
phi0914.phi00125.perseus-eng1.xml,0,0
phi0914.phi00125.perseus-lat3.xml,0,0
phi0914.phi00140.perseus-eng3.xml,0,0
phi0914.phi00140.perseus-lat1.xml,0,0
phi0914.phi00140.perseus-eng2.xml,0,0
phi0914.phi00140.perseus-eng1.xml,0,0
phi0914.phi00118s.perseus-lat2.xml,0,0
phi0914.phi00118s.perseus-eng1.xml,0,0
phi0914.phi001fr.perseus-lat1.xml,0,0
phi0978.phi001.perseus-lat2.xml,0,0
phi0978.phi001.perseus-eng1.xml,0,0
phi0588.abo014.perseus-lat2.xml,0,0
phi0588.abo013.perseus-lat2.xml,0,0
phi0588.abo025.perseus-lat2.xml,0,0
phi0588.abo022.perseus-lat2.xml,0,0
phi0588.abo023.perseus-lat2.xml,0,0
phi0588.abo024.perseus-lat2.xml,0,0
phi0588.abo012.perseus-lat2.xml,0,0
phi0588.abo015.perseus-lat2.xml,0,0
phi0588.abo008.perseus-lat2.xml,0,0
phi0588.abo006.perseus-lat2.xml,0,0
phi0588.abo001.perseus-lat2.xml,0,0
phi0588.abo007.perseus-lat2.xml,0,0
phi0588.abo009.perseus-lat2.xml,0,0
phi0588.abo010.perseus-lat2.xml,0,0
phi0588.abo017.perseus-lat2.xml,0,0
phi0588.abo021.perseus-lat2.xml,0,0
phi0588.abo019.perseus-lat2.xml,0,0
phi0588.abo018.perseus-lat2.xml,0,0
phi0588.abo020.perseus-lat2.xml,0,0
phi0588.abo016.perseus-lat2.xml,0,0
phi0588.abo011.perseus-lat2.xml,0,0
phi0588.abo002.perseus-lat2.xml,0,0
phi0588.abo005.perseus-lat2.xml,0,0
phi0588.abo004.perseus-lat2.xml,0,0
phi0588.abo003.perseus-lat2.xml,0,0
phi1294.phi002.perseus-lat2.xml,1,0
phi0692.phi011.perseus-lat1.xml,0,0
phi0692.phi002.perseus-lat1.xml,0,0
phi0692.phi005.perseus-lat1.xml,0,0
phi0692.phi003.perseus-lat1.xml,0,0
phi0692.phi013.perseus-lat1.xml,0,0
phi0692.phi012.perseus-lat1.xml,0,0
phi0692.phi008.perseus-lat1.xml,0,0
phi0692.phi006.perseus-lat1.xml,0,0
phi0692.phi001.perseus-lat1.xml,0,0
phi0692.phi007.perseus-lat1.xml,0,0
phi0692.phi009.perseus-lat1.xml,0,0
phi0860.phi001.perseus-lat2.xml,0,0
phi1348.abo014.perseus-eng2.xml,1,1
phi1348.abo014.perseus-lat2.xml,0,0
phi1348.abo013.perseus-eng2.xml,5,5
phi1348.abo013.perseus-lat2.xml,0,0
phi1348.abo022.perseus-eng2.xml,1,1
phi1348.abo022.perseus-lat2.xml,0,0
phi1348.abo012.perseus-eng2.xml,11,7
phi1348.abo012.perseus-lat2.xml,0,0
phi1348.abo015.perseus-eng2.xml,3,2
phi1348.abo015.perseus-lat2.xml,0,0
phi1348.abo017.perseus-lat2.xml,0,0
phi1348.abo017.perseus-eng2.xml,2,2
phi1348.abo021.perseus-lat2.xml,0,0
phi1348.abo021.perseus-eng2.xml,0,0
phi1348.abo019.perseus-lat2.xml,0,0
phi1348.abo019.perseus-eng2.xml,1,1
phi1348.abo018.perseus-lat2.xml,0,0
phi1348.abo018.perseus-eng2.xml,0,0
phi1348.abo020.perseus-lat2.xml,0,0
phi1348.abo020.perseus-eng2.xml,1,1
phi1348.abo016.perseus-lat2.xml,0,0
phi1348.abo016.perseus-eng2.xml,1,1
phi1348.abo011.perseus-lat2.xml,0,2
phi1348.abo011.perseus-eng2.xml,7,3
phi1348.abo011.rolfe-eng1.xml,26,0
phi1348.abo011.rolfe-lat1.xml,3,0
phi0893.phi002.perseus-lat2.xml,0,0
phi0893.phi005.perseus-lat2.xml,0,0
phi0893.phi004.perseus-eng2.xml,146,131
phi0893.phi004.perseus-lat2.xml,0,0
phi0893.phi003.perseus-lat2.xml,0,0
phi0893.phi006.perseus-lat2.xml,0,0
phi0893.phi006.perseus-eng2.xml,67,49
phi0893.phi001.perseus-lat2.xml,0,0
phi0893.phi001.perseus-eng2.xml,0,0
stoa0203.stoa001.perseus-lat2.xml,0,0
phi0660.phi003.perseus-lat2.xml,1,0
phi0660.phi003.perseus-eng2.xml,1,0
